name,salary_from,salary_to,salary_currency,area_name,published_at
Сервисный инженер,60000,,RUR,Москва,2022-12-18T00:09:47+0300
Менеджер IT-проектов,,,,Москва,2022-12-18T00:37:40+0300
Менеджер корпоративных продаж / Менеджер проектов / Менеджер по работе с клиентами,40000,,RUR,Саранск,2022-12-18T00:03:16+0300
Программист-разработчик (Full-stack JavaScript разработчик),150000,,RUR,Москва,2022-12-18T00:20:37+0300
Аналитик отдела продаж,70000,80000,RUR,Москва,2022-12-18T00:08:36+0300
Консультант 1С:ЗУП,250000,,RUR,Москва,2022-12-18T00:41:35+0300
"Программист C#, SQL",,,,Москва,2022-12-18T00:18:45+0300
Инженер CI CD,,,,Москва,2022-12-18T00:37:44+0300
Архитектор 1С в области «Производство»,300000,,RUR,Москва,2022-12-18T00:34:41+0300
Технический директор / руководитель проекта,,,,Москва,2022-12-18T00:00:33+0300
Оператор токарного станка с ЧПУ,100000,,RUR,Санкт-Петербург,2022-12-18T00:04:50+0300
Интеграторщик 1С Шина,,,,Москва,2022-12-18T00:35:26+0300
Project manager,,,,Екатеринбург,2022-12-18T00:13:32+0300
Администратор 1С,250000,,RUR,Москва,2022-12-18T00:40:33+0300
Frontend-разработчик (Angular),150000,200000,RUR,Москва,2022-12-18T00:04:53+0300
"Консультант 1С:УХ/1С:ERP Бухгалтерский учет, Налоговый учет",250000,,RUR,Москва,2022-12-18T00:47:53+0300
Embedded developer/Разработчик встроенного ПО (радиочастотные устройства),,,,Санкт-Петербург,2022-12-18T00:38:23+0300
DevOps Engineer,,,,Москва,2022-12-18T00:52:06+0300
Консультант 1С:УХ/1С:ERP Казначейство,250000,,RUR,Москва,2022-12-18T00:46:24+0300
"Консультант 1С в области ""Сбыт,Закупки,Логистика""",250000,,RUR,Москва,2022-12-18T00:45:28+0300
Инженер в сфере Pro-AV,70000,220000,RUR,Люберцы,2022-12-18T00:41:13+0300
Разработчик 1С,,,,Москва,2022-12-18T00:38:41+0300
Специалист SRE (Site Reliability Engineering) / Руководитель отдела обеспечения качества,,,,Москва,2022-12-18T00:52:03+0300
Сотрудник в творческую мастерскую В.В.В.В.В.,50000,,RUR,Москва,2022-12-18T01:31:51+0300
Middle QA Engineer (manual),,120000,RUR,Москва,2022-12-18T01:10:27+0300
Junior/Middle Product Manager/Owner,400,1500,USD,Минск,2022-12-18T01:21:02+0300
Project Manager (remote),,,,Армения,2022-12-18T01:50:11+0300
Project Manager (remote),,,,Тбилиси,2022-12-18T01:50:11+0300
Заместитель генерального директора-главный инженер,150000,,RUR,Москва,2022-12-18T01:10:53+0300
Инженер ОПС,130000,150000,RUR,Новый Уренгой,2022-12-18T01:10:26+0300
Механик (компания по транспортировке отходов / ТКО),51750,51750,RUR,Нижний Новгород,2022-12-18T01:10:56+0300
Старший системный администратор,120000,,RUR,Москва,2022-12-18T01:09:52+0300
Менеджер web-проектов,100000,150000,RUR,Москва,2022-12-18T01:10:25+0300
Fullstack разработчик PHP/JS,150000,280000,RUR,Москва,2022-12-18T01:41:58+0300
Project Manager (remote),,,,Баку,2022-12-18T01:51:57+0300
Техник,60000,,RUR,Москва,2022-12-18T01:10:25+0300
Аналитик по закупкам и планированию товарного запаса,100000,100000,RUR,Москва,2022-12-18T01:16:42+0300
Инженер-электронщик,90000,,RUR,Москва,2022-12-18T01:41:10+0300
"Менеджер проектов (керамогранит, керамическая плитка)",120000,,RUR,Москва,2022-12-18T01:10:53+0300
Ведущий сервисный инженер,,,,Москва,2022-12-18T01:10:27+0300
Сервисный инженер выездной,57500,63200,RUR,Москва,2022-12-18T01:03:12+0300
Инженер технической поддержки продаж,,,,Челябинск,2022-12-18T01:10:50+0300
Механик по выпуску (Контролер технического состояния автотранспортных средств),55000,65000,RUR,Москва,2022-12-18T01:10:51+0300
Слесарь-ремонтник/механик,90000,120000,RUR,Люберцы,2022-12-18T01:10:25+0300
Электромеханик по лифтам,60000,,RUR,Санкт-Петербург,2022-12-18T01:11:05+0300
Сервисный инженер АПС,70000,90000,RUR,Санкт-Петербург,2022-12-18T01:10:54+0300
Разработчик C++ (DPI),,,,Орел,2022-12-18T01:05:12+0300
Senior Machine Learning Engineer,4000,5800,EUR,Москва,2022-12-18T01:29:25+0300
Инженер по информационной безопасности,,,,Мурманск,2022-12-18T01:10:53+0300
Слесарь-ремонтник/механик,90000,120000,RUR,Москва,2022-12-18T01:10:25+0300
Механик,,,,Краснодар,2022-12-18T01:10:25+0300
Руководитель технического отдела,,,,Москва,2022-12-18T01:11:07+0300
Продуктовый аналитик,230000,,RUR,Москва,2022-12-18T02:09:42+0300
Инженер технической поддержки,,65000,RUR,Хабаровск,2022-12-18T02:08:54+0300
Web-дизайнер/разработчик сайтов (любые движки),,,,Москва,2022-12-18T03:51:53+0300
Корреспондент (стрингер),50000,75000,RUR,Ногинск,2022-12-18T03:14:53+0300
Разработчик python (Программист python),,,,Москва,2022-12-18T03:36:13+0300
Ассистент проектного менеджера,40000,70000,RUR,Челябинск,2022-12-18T03:12:57+0300
Корреспондент (стрингер),50000,75000,RUR,Зарайск,2022-12-18T03:14:53+0300
Корреспондент (стрингер),50000,75000,RUR,Солнечногорск,2022-12-18T03:14:53+0300
Проектный менеджер,80000,120000,RUR,Владивосток,2022-12-18T03:19:25+0300
Корреспондент (стрингер),50000,75000,RUR,Кашира,2022-12-18T03:14:53+0300
Корреспондент (стрингер),50000,75000,RUR,Орехово-Зуево,2022-12-18T03:14:53+0300
Программист 1С,100000,150000,RUR,Екатеринбург,2022-12-18T03:06:20+0300
Корреспондент (стрингер),50000,75000,RUR,Дубна,2022-12-18T03:14:53+0300
Корреспондент (стрингер),50000,75000,RUR,Одинцово,2022-12-18T03:14:53+0300
Корреспондент (стрингер),50000,75000,RUR,Дзержинский,2022-12-18T03:14:53+0300
Корреспондент (стрингер),50000,75000,RUR,Волоколамск,2022-12-18T03:14:53+0300
Product manager / Brand manager (одежда),110000,170000,RUR,Москва,2022-12-18T03:13:16+0300
Журналист / корреспондент,30000,70000,RUR,Кемерово,2022-12-18T03:43:50+0300
Корреспондент (стрингер),50000,75000,RUR,Серебряные Пруды,2022-12-18T03:14:53+0300
Механик,80000,110000,RUR,Новокузнецк,2022-12-18T03:36:12+0300
Разработчик 1С,154000,154000,RUR,Екатеринбург,2022-12-18T03:07:19+0300
Механик,80000,110000,RUR,Кемерово,2022-12-18T03:36:12+0300
Инженер технической поддержки (Новочеркасский б-р),59000,74000,RUR,Москва,2022-12-18T03:23:58+0300
Программист 1С,140000,,RUR,Владивосток,2022-12-18T03:17:30+0300
Разработчик 1С,154000,154000,RUR,Самара,2022-12-18T03:07:19+0300
